Ano base	Cod PPG	Nome PPG	Área Básica	IES Principal Sigla	IES Principal Nome	IES da Rede Sigla	Status Jurídico	UF	Região	PPG Ano Início	Modalidade	Mudança de modalidade no quadriênio?	Nota/ conceito	Nível	Ano Início Nível	Sofreu migração no quadriênio?	Total	Permanentes	Colaboradores	Visitantes	Total Distinto	"Mestrado
(ME)"	"Doutorado
(DO)"	"Total Geral
(ME+DO)"	Matrícula Anterior ao Ano Base	Ingressante 	Titulado	Abandono	Desligado	Mud. Nível sem Defesa	Matriculado	Matrícula Anterior ao Ano Base	Ingressante 	Titulado	Abandono	Desligado	Matriculado	Desligado/Matriculado	Abandono/Matriculado	Titulado/Matriculado	Matriculado/DP	Titulado/DP	Desligado/Matriculado	Abandono/Matriculado	Titulado/Matriculado	Matriculado/DP	Titulado/DP	Matriculado/DP	Titulado/DP	Matriculado/Total Docentes	Titulado/Total Docentes	ID_ADD_FOTO_PROGRAMA_IES_PRINC	ID_ADD_FOTO_PROGRAMA	Tipo de Clientela
2020	22008012004P2	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	IFCE	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ		FEDERAL	CE	NORDESTE	2014	ACADÊMICO	NÃO	3	MESTRADO	2014	NÃO	18	17	1	0	71	71	0	71	44	27	12	0	0	0	59	0	0	0	0	0	0	0	0	0.2	3.47	0.71				0	0	3.47	0.71	3.28	0.67	200538	132627	AVALIAÇÃO
2017	23001011022P9	SISTEMAS E COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE		FEDERAL	RN	NORDESTE	1999	ACADÊMICO	NÃO	5	MESTRADO/DOUTORADO	1999/2008	NÃO	27	26	1	0	147	85	67	152	52	33	22	2	4	0	57	47	20	5	0	1	61	0.07	0.04	0.39	2.19	0.85	0.02	0	0.08	2.35	0.19	4.54	1.04	4.37	1	129438	66264	AVALIAÇÃO
2018	23001011022P9	SISTEMAS E COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE		FEDERAL	RN	NORDESTE	1999	ACADÊMICO	NÃO	5	MESTRADO/DOUTORADO	1999/2008	NÃO	29	27	2	0	155	87	73	160	56	31	24	3	2	0	58	60	13	9	1	2	61	0.03	0.05	0.41	2.15	0.89	0.03	0.02	0.15	2.26	0.33	4.41	1.22	4.1	1.14	135966	72020	AVALIAÇÃO
2019	23001011022P9	SISTEMAS E COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE		FEDERAL	RN	NORDESTE	1999	ACADÊMICO	NÃO	5	MESTRADO/DOUTORADO	1999/2008	NÃO	28	27	1	0	156	77	82	159	54	23	19	0	0	0	58	61	21	11	0	0	71	0	0	0.33	2.15	0.7	0	0	0.15	2.63	0.41	4.78	1.11	4.61	1.07	144699	81347	AVALIAÇÃO
2020	23001011022P9	SISTEMAS E COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE		FEDERAL	RN	NORDESTE	1999	ACADÊMICO	NÃO	5	MESTRADO/DOUTORADO	1999/2008	NÃO	29	28	1	0	161	79	85	164	55	24	15	0	0	0	64	72	13	14	1	1	69	0	0	0.23	2.29	0.54	0.01	0.01	0.2	2.46	0.5	4.75	1.04	4.59	1	196473	128919	AVALIAÇÃO
2017	23001011071P0	TECNOLOGIA DA INFORMAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE		FEDERAL	RN	NORDESTE	2014	PROFISSIONAL	NÃO	3	MESTRADO PROFISSIONAL	2014	NÃO	14	12	2	0	39	39	0	39	30	9	8	0	6	0	25	0	0	0	0	0	0	0.24	0	0.32	2.08	0.67				0	0	2.08	0.67	1.79	0.57	128974	65878	AVALIAÇÃO
2018	23001011071P0	TECNOLOGIA DA INFORMAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE		FEDERAL	RN	NORDESTE	2014	PROFISSIONAL	NÃO	3	MESTRADO PROFISSIONAL	2014	NÃO	12	12	0	0	44	44	0	44	24	20	12	2	0	0	30	0	0	0	0	0	0	0	0.07	0.4	2.5	1				0	0	2.5	1	2.5	1	136083	72097	AVALIAÇÃO
2019	23001011071P0	TECNOLOGIA DA INFORMAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE		FEDERAL	RN	NORDESTE	2014	PROFISSIONAL	NÃO	3	MESTRADO PROFISSIONAL	2014	NÃO	12	12	0	0	42	42	0	42	28	14	6	2	2	0	32	0	0	0	0	0	0	0.06	0.06	0.19	2.67	0.5				0	0	2.67	0.5	2.67	0.5	173705	107172	AVALIAÇÃO
2020	23001011071P0	TECNOLOGIA DA INFORMAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFRN	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE		FEDERAL	RN	NORDESTE	2014	PROFISSIONAL	NÃO	3	MESTRADO PROFISSIONAL	2014	NÃO	16	16	0	0	53	53	0	53	32	21	8	1	5	0	39	0	0	0	0	0	0	0.13	0.03	0.21	2.44	0.5				0	0	2.44	0.5	2.44	0.5	204696	136032	AVALIAÇÃO
2017	23002018002P4	CIÊNCIA DA COMPUTAÇÃO - UERN - UFERSA	CIÊNCIA DA COMPUTAÇÃO	UERN	UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE	UFERSA	ESTADUAL	RN	NORDESTE	2008	ACADÊMICO	NÃO	3	MESTRADO	2008	NÃO	23	17	6	0	59	59	0	59	46	13	14	3	1	0	41	0	0	0	0	0	0	0.02	0.07	0.34	2.41	0.82				0	0	2.41	0.82	1.78	0.61	174880	108064	AVALIAÇÃO
2018	23002018002P4	CIÊNCIA DA COMPUTAÇÃO - UERN - UFERSA	CIÊNCIA DA COMPUTAÇÃO	UERN	UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE	UFERSA	ESTADUAL	RN	NORDESTE	2008	ACADÊMICO	NÃO	3	MESTRADO	2008	NÃO	19	15	4	0	66	66	0	66	41	25	20	4	2	0	40	0	0	0	0	0	0	0.05	0.1	0.5	2.67	1.33				0	0	2.67	1.33	2.11	1.05	175134	108273	AVALIAÇÃO
2019	23002018002P4	CIÊNCIA DA COMPUTAÇÃO - UERN - UFERSA	CIÊNCIA DA COMPUTAÇÃO	UERN	UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE	UFERSA	ESTADUAL	RN	NORDESTE	2008	ACADÊMICO	NÃO	3	MESTRADO	2008	NÃO	22	13	9	0	65	65	0	65	40	25	13	2	7	0	43	0	0	0	0	0	0	0.16	0.05	0.3	3.31	1				0	0	3.31	1	1.95	0.59	175193	108329	AVALIAÇÃO
2020	23002018002P4	CIÊNCIA DA COMPUTAÇÃO - UERN - UFERSA	CIÊNCIA DA COMPUTAÇÃO	UERN	UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE	UFERSA	ESTADUAL	RN	NORDESTE	2008	ACADÊMICO	NÃO	3	MESTRADO	2008	NÃO	19	13	6	0	62	62	0	62	42	20	12	1	2	0	47	0	0	0	0	0	0	0.04	0.02	0.26	3.62	0.92				0	0	3.62	0.92	2.47	0.63	203368	134892	AVALIAÇÃO
2017	24001015047P4	INFORMÁTICA	SISTEMA DE COMPUTAÇÃO	UFPB-JP	UNIVERSIDADE FEDERAL DA PARAÍBA ( JOÃO PESSOA )		FEDERAL	PB	NORDESTE	2006	ACADÊMICO	NÃO	4	MESTRADO	2006	NÃO	19	15	4	0	102	102	0	102	77	25	25	3	3	0	71	0	0	0	0	0	0	0.04	0.04	0.35	4.73	1.67				0	0	4.73	1.67	3.74	1.32	175359	108491	AVALIAÇÃO
2018	24001015047P4	INFORMÁTICA	SISTEMA DE COMPUTAÇÃO	UFPB-JP	UNIVERSIDADE FEDERAL DA PARAÍBA ( JOÃO PESSOA )		FEDERAL	PB	NORDESTE	2006	ACADÊMICO	NÃO	4	MESTRADO	2006	NÃO	19	15	4	0	111	111	0	111	71	40	19	0	16	0	76	0	0	0	0	0	0	0.21	0	0.25	5.07	1.27				0	0	5.07	1.27	4	1	176009	109003	AVALIAÇÃO
2019	24001015047P4	INFORMÁTICA	SISTEMA DE COMPUTAÇÃO	UFPB-JP	UNIVERSIDADE FEDERAL DA PARAÍBA ( JOÃO PESSOA )		FEDERAL	PB	NORDESTE	2006	ACADÊMICO	NÃO	4	MESTRADO	2006	NÃO	20	16	4	0	117	117	0	117	76	41	20	0	1	0	96	0	0	0	0	0	0	0.01	0	0.21	6	1.25				0	0	6	1.25	4.8	1	175966	108959	AVALIAÇÃO
2020	24001015047P4	INFORMÁTICA	SISTEMA DE COMPUTAÇÃO	UFPB-JP	UNIVERSIDADE FEDERAL DA PARAÍBA ( JOÃO PESSOA )		FEDERAL	PB	NORDESTE	2006	ACADÊMICO	NÃO	4	MESTRADO	2006	NÃO	20	16	4	0	121	121	0	121	96	25	16	0	0	0	105	0	0	0	0	0	0	0	0	0.15	6.56	1				0	0	6.56	1	5.25	0.8	202880	134460	AVALIAÇÃO
2019	24007013002P9	TECNOLOGIA DA INFORMAÇÃO	CIÊNCIA DA COMPUTAÇÃO	IFPB	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA PARAÍBA		FEDERAL	PB	NORDESTE	2019	PROFISSIONAL	NÃO	A	MESTRADO PROFISSIONAL	2019	NÃO	17	14	3	0	25	25	0	25	0	25	0	0	0	0	25	0	0	0	0	0	0	0	0	0	1.79	0				0	0	1.79	0	1.47	0	159952	94777	AVALIAÇÃO
2020	24007013002P9	TECNOLOGIA DA INFORMAÇÃO	CIÊNCIA DA COMPUTAÇÃO	IFPB	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA PARAÍBA		FEDERAL	PB	NORDESTE	2019	PROFISSIONAL	NÃO	A	MESTRADO PROFISSIONAL	2019	NÃO	17	15	2	0	49	49	0	49	25	24	0	0	1	0	48	0	0	0	0	0	0	0.02	0	0	3.2	0				0	0	3.2	0	2.82	0	204770	136086	AVALIAÇÃO
2017	24009016005P0	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFCG	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE		FEDERAL	PB	NORDESTE	1973	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	1973/2005	NÃO	44	34	10	0	170	87	92	179	60	27	17	3	11	0	56	74	18	16	3	3	70	0.2	0.05	0.3	1.65	0.5	0.04	0.04	0.23	2.06	0.47	3.71	0.97	2.86	0.75	177520	110055	AVALIAÇÃO
2018	24009016005P0	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFCG	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE		FEDERAL	PB	NORDESTE	1973	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	1973/2005	NÃO	43	33	10	0	155	80	84	164	56	24	15	0	7	0	58	69	15	13	2	3	66	0.12	0	0.26	1.76	0.45	0.05	0.03	0.2	2	0.39	3.76	0.85	2.88	0.65	177546	110061	AVALIAÇÃO
2019	24009016005P0	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFCG	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE		FEDERAL	PB	NORDESTE	1973	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	1973/2005	NÃO	45	35	10	0	172	100	79	179	58	42	21	1	11	0	67	66	13	10	0	3	66	0.16	0.01	0.31	1.91	0.6	0.05	0	0.15	1.89	0.29	3.8	0.89	2.96	0.69	177573	110101	AVALIAÇÃO
2020	24009016005P0	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFCG	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE		FEDERAL	PB	NORDESTE	1973	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	1973/2005	NÃO	45	35	10	0	160	85	77	162	61	24	16	0	11	0	58	66	11	13	0	6	58	0.19	0	0.28	1.66	0.46	0.1	0	0.22	1.66	0.37	3.31	0.83	2.58	0.64	198209	130572	AVALIAÇÃO
2017	25001019004P6	CIÊNCIAS DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFPE	UNIVERSIDADE FEDERAL DE PERNAMBUCO		FEDERAL	PE	NORDESTE	1975	ACADÊMICO	NÃO	7	MESTRADO/DOUTORADO	1975/1992	NÃO	84	76	8	0	697	335	379	714	195	140	65	0	39	0	231	294	85	59	1	18	301	0.17	0	0.28	3.04	0.86	0.06	0	0.2	3.96	0.78	7	1.63	6.33	1.48	176829	109569	AVALIAÇÃO
2018	25001019004P6	CIÊNCIAS DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFPE	UNIVERSIDADE FEDERAL DE PERNAMBUCO		FEDERAL	PE	NORDESTE	1975	ACADÊMICO	NÃO	7	MESTRADO/DOUTORADO	1975/1992	NÃO	84	76	8	0	678	336	358	694	231	105	47	0	50	0	239	298	60	40	0	32	286	0.21	0	0.2	3.14	0.62	0.11	0	0.14	3.76	0.53	6.91	1.14	6.25	1.04	176868	109594	AVALIAÇÃO
2019	25001019004P6	CIÊNCIAS DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFPE	UNIVERSIDADE FEDERAL DE PERNAMBUCO		FEDERAL	PE	NORDESTE	1975	ACADÊMICO	NÃO	7	MESTRADO/DOUTORADO	1975/1992	NÃO	88	73	15	0	689	341	375	716	237	104	91	0	19	0	231	284	91	48	0	24	303	0.08	0	0.39	3.16	1.25	0.08	0	0.16	4.15	0.66	7.32	1.9	6.07	1.58	176878	109604	AVALIAÇÃO
2020	25001019004P6	CIÊNCIAS DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFPE	UNIVERSIDADE FEDERAL DE PERNAMBUCO		FEDERAL	PE	NORDESTE	1975	ACADÊMICO	NÃO	7	MESTRADO/DOUTORADO	1975/1992	NÃO	88	71	17	0	697	334	382	716	228	106	64	0	8	0	262	301	81	35	0	11	336	0.03	0	0.24	3.69	0.9	0.03	0	0.1	4.73	0.49	8.42	1.39	6.8	1.13	199103	131320	AVALIAÇÃO
2017	25001019062P6	CIÊNCIAS DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFPE	UNIVERSIDADE FEDERAL DE PERNAMBUCO		FEDERAL	PE	NORDESTE	2006	PROFISSIONAL	NÃO	4	MESTRADO PROFISSIONAL	2006	NÃO	43	33	10	0	112	112	0	112	112	0	89	0	16	0	7	0	0	0	0	0	0	2.29	0	12.71	0.21	2.7				0	0	0.21	2.7	0.16	2.07	176051	109043	AVALIAÇÃO
2018	25001019062P6	CIÊNCIAS DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFPE	UNIVERSIDADE FEDERAL DE PERNAMBUCO		FEDERAL	PE	NORDESTE	2006	PROFISSIONAL	NÃO	4	MESTRADO PROFISSIONAL	2006	NÃO	44	35	9	0	48	48	0	48	7	41	6	0	1	0	41	0	0	0	0	0	0	0.02	0	0.15	1.17	0.17				0	0	1.17	0.17	0.93	0.14	173760	107219	AVALIAÇÃO
2019	25001019062P6	CIÊNCIAS DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFPE	UNIVERSIDADE FEDERAL DE PERNAMBUCO		FEDERAL	PE	NORDESTE	2006	PROFISSIONAL	NÃO	4	MESTRADO PROFISSIONAL	2006	NÃO	41	34	7	0	41	41	0	41	41	0	1	0	0	0	40	0	0	0	0	0	0	0	0	0.03	1.18	0.03				0	0	1.18	0.03	0.98	0.02	173770	107195	AVALIAÇÃO
2020	25001019062P6	CIÊNCIAS DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFPE	UNIVERSIDADE FEDERAL DE PERNAMBUCO		FEDERAL	PE	NORDESTE	2006	PROFISSIONAL	NÃO	4	MESTRADO PROFISSIONAL	2006	NÃO	40	33	7	0	40	40	0	40	40	0	14	0	0	0	26	0	0	0	0	0	0	0	0	0.54	0.79	0.42				0	0	0.79	0.42	0.65	0.35	203725	135212	AVALIAÇÃO
2017	25003011032P2	INFORMÁTICA APLICADA	CIÊNCIA DA COMPUTAÇÃO	UFRPE	UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO		FEDERAL	PE	NORDESTE	2011	ACADÊMICO	NÃO	3	MESTRADO	2011	NÃO	20	16	4	0	66	66	0	66	35	31	12	1	3	0	50	0	0	0	0	0	0	0.06	0.02	0.24	3.13	0.75				0	0	3.13	0.75	2.5	0.6	165800	99847	AVALIAÇÃO
2018	25003011032P2	INFORMÁTICA APLICADA	CIÊNCIA DA COMPUTAÇÃO	UFRPE	UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO		FEDERAL	PE	NORDESTE	2011	ACADÊMICO	NÃO	3	MESTRADO	2011	NÃO	23	18	5	0	68	68	0	68	50	18	16	1	5	0	46	0	0	0	0	0	0	0.11	0.02	0.35	2.56	0.89				0	0	2.56	0.89	2	0.7	166024	100066	AVALIAÇÃO
2019	25003011032P2	INFORMÁTICA APLICADA	CIÊNCIA DA COMPUTAÇÃO	UFRPE	UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO		FEDERAL	PE	NORDESTE	2011	ACADÊMICO	NÃO	3	MESTRADO	2011	NÃO	25	21	4	0	72	72	0	72	46	26	16	0	6	0	50	0	0	0	0	0	0	0.12	0	0.32	2.38	0.76				0	0	2.38	0.76	2	0.64	166268	100287	AVALIAÇÃO
2020	25003011032P2	INFORMÁTICA APLICADA	CIÊNCIA DA COMPUTAÇÃO	UFRPE	UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO		FEDERAL	PE	NORDESTE	2011	ACADÊMICO	NÃO	3	MESTRADO	2011	NÃO	27	23	4	0	75	75	0	75	49	26	15	0	3	0	57	0	0	0	0	0	0	0.05	0	0.26	2.48	0.65				0	0	2.48	0.65	2.11	0.56	198902	131157	AVALIAÇÃO
2017	25004018011P1	ENGENHARIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UPE	UNIVERSIDADE DE PERNAMBUCO		ESTADUAL	PE	NORDESTE	2006	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	2006/2018	NÃO	20	14	6	0	86	86	0	86	60	26	24	4	5	0	53	0	0	0	0	0	0	0.09	0.08	0.45	3.79	1.71				0	0	3.79	1.71	2.65	1.2	170537	104317	AVALIAÇÃO
2018	25004018011P1	ENGENHARIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UPE	UNIVERSIDADE DE PERNAMBUCO		ESTADUAL	PE	NORDESTE	2006	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	2006/2018	NÃO	17	14	3	0	80	80	0	80	52	28	20	1	10	0	49	0	0	0	0	0	0	0.2	0.02	0.41	3.5	1.43				0	0	3.5	1.43	2.88	1.18	168499	102462	AVALIAÇÃO
2019	25004018011P1	ENGENHARIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UPE	UNIVERSIDADE DE PERNAMBUCO		ESTADUAL	PE	NORDESTE	2006	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	2006/2018	NÃO	19	14	5	0	101	78	27	105	49	29	17	4	5	0	52	0	27	0	0	0	27	0.1	0.08	0.33	3.71	1.21	0	0	0	1.93	0	5.64	1.21	4.16	0.89	163429	97389	AVALIAÇÃO
2020	25004018011P1	ENGENHARIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UPE	UNIVERSIDADE DE PERNAMBUCO		ESTADUAL	PE	NORDESTE	2006	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	2006/2018	NÃO	20	15	5	0	127	88	41	129	51	37	19	4	6	0	59	27	14	0	0	0	41	0.1	0.07	0.32	3.93	1.27	0	0	0	2.73	0	6.67	1.27	5	0.95	202905	134485	AVALIAÇÃO
2017	25019015001P0	ENGENHARIA DE SOFTWARE	ENGENHARIA DE SOFTWARE	CESAR	CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE (PE)		PARTICULAR	PE	NORDESTE	2007	PROFISSIONAL	NÃO	4	MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL	2007	NÃO	34	15	13	6	124	124	0	124	86	38	30	12	0	0	82	0	0	0	0	0	0	0	0.15	0.37	5.47	2				0	0	5.47	2	2.41	0.88	172033	105729	AVALIAÇÃO
2018	25019015001P0	ENGENHARIA DE SOFTWARE	ENGENHARIA DE SOFTWARE	CESAR	CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE (PE)		PARTICULAR	PE	NORDESTE	2007	PROFISSIONAL	NÃO	4	MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL	2007	NÃO	32	18	9	5	131	131	0	131	82	49	21	12	0	0	98	0	0	0	0	0	0	0	0.12	0.21	5.44	1.17				0	0	5.44	1.17	3.06	0.66	176172	109081	AVALIAÇÃO
2019	25019015001P0	ENGENHARIA DE SOFTWARE	ENGENHARIA DE SOFTWARE	CESAR	CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE (PE)		PARTICULAR	PE	NORDESTE	2007	PROFISSIONAL	NÃO	4	MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL	2007	NÃO	29	16	9	4	160	160	0	160	98	62	28	3	0	0	129	0	0	0	0	0	0	0	0.02	0.22	8.06	1.75				0	0	8.06	1.75	4.45	0.97	176994	109719	AVALIAÇÃO
2020	25019015001P0	ENGENHARIA DE SOFTWARE	ENGENHARIA DE SOFTWARE	CESAR	CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE (PE)		PARTICULAR	PE	NORDESTE	2007	PROFISSIONAL	NÃO	4	MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL	2007	NÃO	31	19	10	2	198	167	32	199	127	40	37	7	0	0	123	0	32	0	0	0	32	0	0.06	0.3	6.47	1.95	0	0	0	1.68	0	8.16	1.95	5	1.19	205545	137144	AVALIAÇÃO
2017	26001012035P1	INFORMÁTICA	CIÊNCIA DA COMPUTAÇÃO	UFAL	UNIVERSIDADE FEDERAL DE ALAGOAS		FEDERAL	AL	NORDESTE	2012	ACADÊMICO	NÃO	3	MESTRADO	2012	NÃO	17	13	4	0	45	45	0	45	25	20	15	2	1	0	27	0	0	0	0	0	0	0.04	0.07	0.56	2.08	1.15				0	0	2.08	1.15	1.59	0.88	175044	108189	AVALIAÇÃO
2018	26001012035P1	INFORMÁTICA	CIÊNCIA DA COMPUTAÇÃO	UFAL	UNIVERSIDADE FEDERAL DE ALAGOAS		FEDERAL	AL	NORDESTE	2012	ACADÊMICO	NÃO	3	MESTRADO	2012	NÃO	21	15	6	0	56	56	0	56	27	29	2	2	7	0	45	0	0	0	0	0	0	0.16	0.04	0.04	3	0.13				0	0	3	0.13	2.14	0.1	175096	108240	AVALIAÇÃO
2019	26001012035P1	INFORMÁTICA	CIÊNCIA DA COMPUTAÇÃO	UFAL	UNIVERSIDADE FEDERAL DE ALAGOAS		FEDERAL	AL	NORDESTE	2012	ACADÊMICO	NÃO	3	MESTRADO	2012	NÃO	27	22	5	0	80	80	0	80	45	35	14	1	14	0	51	0	0	0	0	0	0	0.27	0.02	0.27	2.32	0.64				0	0	2.32	0.64	1.89	0.52	175442	108553	AVALIAÇÃO
2020	26001012035P1	INFORMÁTICA	CIÊNCIA DA COMPUTAÇÃO	UFAL	UNIVERSIDADE FEDERAL DE ALAGOAS		FEDERAL	AL	NORDESTE	2012	ACADÊMICO	NÃO	3	MESTRADO	2012	NÃO	28	23	5	0	83	83	0	83	50	33	15	5	10	0	53	0	0	0	0	0	0	0.19	0.09	0.28	2.3	0.65				0	0	2.3	0.65	1.89	0.54	204737	136054	AVALIAÇÃO
2017	27001016029P4	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	FUFSE	FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE		FEDERAL	SE	NORDESTE	2010	ACADÊMICO	NÃO	3	MESTRADO	2010	NÃO	21	14	7	0	77	77	0	77	60	17	29	0	4	0	44	0	0	0	0	0	0	0.09	0	0.66	3.14	2.07				0	0	3.14	2.07	2.1	1.38	168621	102509	AVALIAÇÃO
2018	27001016029P4	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	FUFSE	FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE		FEDERAL	SE	NORDESTE	2010	ACADÊMICO	NÃO	3	MESTRADO	2010	NÃO	21	16	5	0	70	70	0	70	43	27	24	1	3	0	42	0	0	0	0	0	0	0.07	0.02	0.57	2.63	1.5				0	0	2.63	1.5	2	1.14	168833	102710	AVALIAÇÃO
2019	27001016029P4	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	FUFSE	FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE		FEDERAL	SE	NORDESTE	2010	ACADÊMICO	NÃO	3	MESTRADO	2010	NÃO	20	15	5	0	65	65	0	65	42	23	19	1	7	0	38	0	0	0	0	0	0	0.18	0.03	0.5	2.53	1.27				0	0	2.53	1.27	1.9	0.95	168840	102717	AVALIAÇÃO
2020	27001016029P4	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	FUFSE	FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE		FEDERAL	SE	NORDESTE	2010	ACADÊMICO	NÃO	3	MESTRADO	2010	NÃO	17	15	2	0	59	59	0	59	36	23	17	0	0	0	42	0	0	0	0	0	0	0	0	0.4	2.8	1.13				0	0	2.8	1.13	2.47	1	200647	132656	AVALIAÇÃO
2017	28001010061P1	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFBA	UNIVERSIDADE FEDERAL DA BAHIA	UNIFACS;UEFS	FEDERAL	BA	NORDESTE	2007	ACADÊMICO	NÃO	4	DOUTORADO	2007	NÃO	11	10	1	0	14	0	14	14	0	0	0	0	0	0	0	14	0	2	0	3	9				0	0	0.33	0	0.22	0.9	0.2	0.9	0.2	0.82	0.18	171813	105491	AVALIAÇÃO
2018	28001010061P1	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFBA	UNIVERSIDADE FEDERAL DA BAHIA	UNIFACS;UEFS	FEDERAL	BA	NORDESTE	2007	ACADÊMICO	NÃO	4	DOUTORADO	2007	NÃO	7	6	1	0	9	0	9	9	0	0	0	0	0	0	0	9	0	3	0	2	4				0	0	0.5	0	0.75	0.67	0.5	0.67	0.5	0.57	0.43	171793	105505	AVALIAÇÃO
2019	28001010061P1	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFBA	UNIVERSIDADE FEDERAL DA BAHIA	UNIFACS;UEFS	FEDERAL	BA	NORDESTE	2007	ACADÊMICO	NÃO	4	DOUTORADO	2007	NÃO	6	6	0	0	4	0	4	4	0	0	0	0	0	0	0	4	0	3	0	0	1				0	0	0	0	3	0.17	0.5	0.17	0.5	0.17	0.5	171823	105499	AVALIAÇÃO
