Código,Nome,Nível,Nota,Sigla,Modalidade,Região,Num Anos,Média Docentes,Por docente quadriênio,Por ano,Total,Por docente quadrienal,Por ano,Total,iRestrito,Igeral,iRestrito,Igeral,iRestrito,Igeral,iRestrito,Igeral,A1,A2,A3,A4,B1,B2,B3,B4,C,A1,A2,A3,A4,B1,B2,B3,B4,C,iRestrito,Igeral,iRestrito,Igeral,iRestrito,Igeral,iRestrito,Igeral,A1,A2,A3,A4,B1,B2,B3,B4,C,A1,A2,A3,A4,B1,B2,B3,B4,C
20002017004P9,ENGENHARIA DE COMPUTAÇÃO E SISTEMAS,MP,3,UEMA,PROFISSIONAL,NE,4,12.75,0.0,0.0,0,5.6,18.0,72,1.45,1.55,73.75,79.25,45.25,46.90,28.50,32.35,7,3,3,15,1,4,2,3,9,6,1,9,11,3,0,10,27,33,0.33,0.38,16.63,19.58,10.88,12.28,5.75,7.30,0,1,1,2,1,4,0,2,3,1,0,3,4,2,0,2,7,11
23002018002P4,CIÊNCIA DA COMPUTAÇÃO - UERN - UFERSA,ME,3,UERN,ACADEMICO,NE,4,14.5,0.0,0.0,0,4.1,14.8,59,1.12,1.24,64.75,72.15,28.75,33.60,36.00,38.55,5,2,3,6,4,12,4,1,7,4,2,9,12,2,1,7,13,23,0.28,0.36,16.38,20.88,4.13,7.28,12.25,13.60,1,0,0,5,2,10,1,1,2,0,0,8,10,1,1,5,3,12
28002016020P6,CIÊNCIA DA COMPUTAÇÃO,ME,A,UEFS,ACADEMICO,NE,2,10.5,0.0,0.0,0,0.0,0.0,0,4.60,4.79,96.63,100.68,44.75,46.95,51.88,53.73,5,4,4,2,3,3,0,2,2,0,0,15,65,3,1,0,3,27,0.54,0.57,11.38,11.93,0.75,0.80,10.63,11.13,0,0,1,0,0,0,0,1,0,0,0,5,11,1,0,0,0,4
33002029052P5,COMPUTAÇÃO APLICADA,ME,3,USP/RP,ACADEMICO,SE,4,15,0.0,0.0,0,1.9,7.0,28,6.02,6.15,361.00,368.75,292.88,296.13,68.13,72.63,56,24,21,13,4,6,0,1,8,17,4,5,19,6,1,5,16,6,0.19,0.22,11.13,13.28,5.00,5.20,6.13,8.08,5,0,0,0,0,1,0,0,1,1,0,1,7,2,0,5,9,3
30004012075P4,COMPUTAÇÃO APLICADA,MP,A,IFES,PROFISSIONAL,SE,2,14,0.0,0.0,0,0.0,0.0,0,1.60,1.62,44.88,45.43,26.63,26.68,18.25,18.75,6,2,3,1,0,0,0,1,4,3,1,1,9,0,0,1,8,15,0.38,0.39,10.75,10.95,8.88,8.88,1.88,2.08,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,4
15001016092P4,COMPUTAÇÃO APLICADA,MP,3,UFPA,PROFISSIONAL,N,4,11,0.0,0.0,0,2.0,5.5,22,1.86,1.93,81.63,84.73,35.25,36.30,46.38,48.43,6,3,1,3,1,2,1,1,13,1,4,9,5,0,3,8,13,24,0.12,0.14,5.38,6.28,1.00,1.50,4.38,4.78,1,0,0,0,1,0,0,0,2,0,0,5,1,0,0,2,4,8
22001018173P4,COMPUTAÇÃO,ME,A,UFC/Qui,ACADEMICO,NE,2,17.5,0.0,0.0,0,0.1,1.0,2,1.34,1.49,46.88,52.08,21.38,23.63,25.50,28.45,1,2,1,3,0,10,1,3,9,0,1,13,11,4,0,6,7,7,0.10,0.12,3.50,4.15,0.63,0.63,2.88,3.53,0,0,0,1,0,0,0,0,3,0,0,3,1,1,0,1,1,2
24007013002P9,TECNOLOGIA DA INFORMAÇÃO,MP,A,IFPB,PROFISSIONAL,NE,2,14.5,0.0,0.0,0,0.0,0.0,0,3.75,3.86,108.88,111.83,53.63,55.13,55.25,56.70,6,5,1,4,0,4,7,0,0,0,5,2,15,1,0,5,9,20,0.09,0.11,2.75,3.30,0.00,0.30,2.75,3.00,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,2,1,4
51001012038P1,COMPUTAÇÃO APLICADA,MP,3,UFMS,PROFISSIONAL,CO,4,15.5,0.0,0.0,0,2.1,8.3,33,2.27,2.38,140.88,147.83,91.50,95.70,49.38,52.13,9,9,1,3,4,9,2,4,8,5,3,7,20,3,1,1,19,45,0.03,0.04,1.63,2.43,1.00,1.60,0.63,0.83,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,4,1
40015017173P2,CIÊNCIA DA COMPUTAÇÃO,ME,A,UNIOESTE,ACADEMICO,S,2,11,0.0,0.0,0,0.0,0.0,0,2.80,3.05,61.50,67.05,42.00,45.10,19.50,21.95,5,3,8,7,3,5,6,0,1,2,1,9,3,3,1,2,11,36,0.07,0.08,1.50,1.85,0.00,0.00,1.50,1.85,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,2
11001011072P2,CIÊNCIA DA COMPUTAÇÃO,ME,A,UFAC,ACADEMICO,N,2,13,0.0,0.0,0,0.0,0.0,0,0.10,0.12,2.50,3.00,1.75,1.75,0.75,1.25,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.03,0.05,0.75,1.25,0.00,0.00,0.75,1.25,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
33083010005P2,COMPUTAÇÃO APLICADA,MP,A,IPT,PROFISSIONAL,SE,1,11,0.0,0.0,0,0.0,0.0,0,1.22,1.36,13.38,14.98,12.63,13.43,0.75,1.55,3,1,1,0,1,1,1,0,0,0,0,1,0,0,2,3,2,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
